ticker,name,type,sector
XOM,Exxon Mobil,stock,Energy
AAPL,Apple,stock,Technology
RTX,RTX,stock,Industrials
NVDA,NVIDIA,stock,Technology
AMGN,Amgen,stock,Healthcare
LMT,Lockheed Martin,stock,Industrials
GOOGL,Alphabet,stock,Technology
MSFT,Microsoft,stock,Technology
CVX,Chevron,stock,Energy
BA,Boeing,stock,Industrials
GILD,Gilead Sciences,stock,Healthcare
USD,United States Dollar,paper,
AMZN,Amazon,stock,Consumer
LLY,Eli Lilly,stock,Healthcare
JNJ,Johnson & Johnson,stock,Healthcare
INTC,Intel,stock,Technology
BTC,Bitcoin,crypto,Crypto
UBER,Uber,stock,Technology
MRK,Merck,stock,Healthcare
ABBV,AbbVie,stock,Healthcare
COP,ConocoPhillips,stock,Energy
PLTR,Palantir,stock,Technology
WFC,Wells Fargo,stock,Financial
IBM,International Business Machines,stock,Technology
MA,Mastercard,stock,Financial
SLB,Schlumberger Limited,stock,Energy
META,Meta,stock,Technology
AVGO,Broadcom,stock,Technology
V,Visa,stock,Financial
JPM,JPMorgan Chase,stock,Financial
PG,Procter & Gamble,stock,Consumer
REGN,Regeneron,stock,Healthcare
NEE,NextEra Energy,stock,Utilities
UNH,UnitedHealth,stock,Healthcare
ABT,Abbott Laboratories,stock,Healthcare
HD,Home Depot,stock,Consumer
ARM,Arm,stock,Technology
TSLA,Tesla,stock,Consumer
F,Ford,stock,Consumer
RIVN,Rivian,stock,Consumer
COST,Costco Wholesale,stock,Consumer
GM,General Motors,stock,Consumer
COIN,Coinbase Global,stock,Financial
HON,Honeywell,stock,Industrials
HOOD,Robinhood Markets,stock,Financial
AMAT,Applied Materials,stock,Technology
ETH,Ethereum,crypto,Crypto
