article_id,text,context,context_link,image_url
lJq1AL0hzGRUulh,"Cebu Pacific Air set to make history with massive $24 billion order for 152 Airbus jets, powered by Pratt & Whitney engines","Cebu Pacific Air is the Philippines' largest low-cost airline, founded in 1988 and operating flights to domestic and international destinations. The airline has experienced significant growth, becoming the country's largest carrier by passenger numbers in 2010, and recently reported its first full-year post-pandemic profit in 2023.",https://en.wikipedia.org/wiki/Cebu_Pacific,
7EA1EDyLwPq90OF,Merck KGaA partners with Afrigen Biologics to boost mRNA vaccine production in developing countries,"Merck KGaA is a German multinational science and technology company founded in 1668, operating in healthcare, life sciences, and electronics. With about 60,000 employees and a presence in 66 countries, it is one of the largest pharmaceutical companies globally, with major research centers in Darmstadt, Boston, Tokyo, and Beijing.",https://en.wikipedia.org/wiki/Merck_KGaA,
XYgRkEDcAYt3uPX,"Rivian's electric delivery vans for Amazon face safety scrutiny after three catch fire in Houston, showcasing the importance of EV battery safety measures.","Rivian is an American electric vehicle manufacturer founded in 2009, producing electric SUVs, pickup trucks, and delivery vans. The company raised over $13.5 billion in its 2021 IPO and has a manufacturing plant in Illinois with plans for expansion in Georgia.",https://en.wikipedia.org/wiki/Rivian,
DJdnZnKQm8FS8Ql,"Tesla expands its presence in Idaho with a new dealership and Supercharger station in Meridian, marking its second location in the Boise area.",,"https://en.wikipedia.org/wiki/Tesla,_Inc.",
EefXjiU76PGXD1i,Visa partners with Tangem to enable crypto payments via hardware wallets at millions of merchant locations worldwide,,https://en.wikipedia.org/wiki/Stablecoin,
rsAVxoeGINuV54F,Amazon joins forces with merging luxury giants Saks and Neiman Marcus to revolutionize high-end retail,,https://en.wikipedia.org/wiki/Saks_Fifth_Avenue,
SaQ3vXHKAY1b7Bg,Roche halts lung cancer study after new immunotherapy combo fails to outperform Merck's Keytruda,"Non-small cell lung cancer (NSCLC) accounts for about 85% of all lung cancers and is relatively insensitive to chemotherapy. Treatment options include surgery, radiation therapy, chemotherapy, and targeted therapies like immunotherapy, with survival rates varying significantly based on the stage of the disease.",https://en.wikipedia.org/wiki/Non-small_cell_lung_carcinoma,
Q4GNpoVyZxcJ2fR,"JPMorgan Chase plans to charge for currently free services in response to proposed fee restrictions, says executive Marianne Lake.",,https://en.wikipedia.org/wiki/JPMorgan_Chase,
GMy9p0eaUl13Pue,"Meta invests $800 million in new AI-focused data center in Wyoming, creating jobs and running on 100% renewable energy",,https://en.wikipedia.org/wiki/Meta_Platforms,
hbvLDIDTmRnsCxp,Web3 startup Altcoinist secures $1.5M funding to build blockchain-based subscription tool for creator economies,,https://en.wikipedia.org/wiki/Blockchain,
u6Pg7iOUzD6tYZx,"ConocoPhillips sues to challenge Biden's drilling ban in Alaska's National Petroleum Reserve, citing violation of federal law mandating oil development.","The National Petroleum Reserve in Alaska (NPRA) is a 23.6 million acre federal land tract on Alaska's North Slope, managed by the Bureau of Land Management. It's ecologically significant for wildlife, particularly birds and caribou, and has been subject to ongoing debates between oil development and environmental conservation.",https://en.wikipedia.org/wiki/National_Petroleum_Reserve%E2%80%93Alaska,
KpQVAlquqCI0F5o,"Talen Energy defends Amazon data center deal against utility companies' opposition, citing potential consumer cost increases.",,https://en.wikipedia.org/wiki/Electric_utility,
SXYu1Lc3a9uO4zP,"Ford's battery partner SK On struggles as EV sales slump in Europe and US, impacting their joint venture BlueOval SK","SK On, a subsidiary of SK Innovation, is a major player in the electric vehicle battery market, ranking fifth globally with a 7% market share in early 2022. The company has a significant joint venture with Ford Motor called BlueOval SK to manufacture batteries for Ford and Lincoln electric vehicles.",https://en.wikipedia.org/wiki/SK_On,
PnjQQnVdRcc0uyM,"Amazon workers in Coventry vote on union representation, potentially marking a first for the company in the UK","GMB is a large UK trade union with over 560,000 members across various industries. It has been involved in significant legal cases supporting workers' rights, particularly in the gig economy, and is a major affiliate and financial contributor to the Labour Party.",https://en.wikipedia.org/wiki/GMB_(trade_union),
5Kz0l9OxOVh3HTv,"Tron founder Justin Sun unveils plans for gas-free stablecoin transfers on Tron and Ethereum, aiming to revolutionize blockchain transactions.",,https://en.wikipedia.org/wiki/Stablecoin,
LbdU7tJs7kmvPTs,"Eli Lilly set to acquire Morphic Holding, boosting its immunology pipeline and potential treatments for inflammatory bowel disease.","Integrins are transmembrane receptors crucial for cell-cell and cell-extracellular matrix adhesion, playing key roles in signal transduction and cellular processes. They are composed of α and β subunits, with 24 unique combinations in mammals, and are involved in various biological activities including cell migration, immune responses, and blood clotting.",https://en.wikipedia.org/wiki/Integrin,
Yf1r2FhKkGOKGod,"Apple removes VPN apps from Russian App Store, complying with government request to limit access to censorship-bypassing tools.",,https://en.wikipedia.org/wiki/Virtual_private_network,
LEDUHBtIa4kYuuS,"Microsoft's Azure customers in China retain access to OpenAI models, bypassing the company's API restrictions in the country.",,https://en.wikipedia.org/wiki/OpenAI,
qGEsqM6cQYdDZPJ,UnitedHealth faces class action lawsuit over alleged misrepresentations about preventing anti-competitive behavior between its divisions,,https://en.wikipedia.org/wiki/Class_action,
7rqYBL34fb8zBVK,Privacy group noyb files GDPR complaint against Microsoft's Xandr for alleged data access and transparency violations in targeted advertising practices.,"Xandr is Microsoft's advertising and analytics subsidiary, operating a platform called Community for digital advertising. It was acquired by Microsoft from AT&T in June 2022 for approximately $1 billion, aiming to bolster Microsoft's advertising and retail media business.",https://en.wikipedia.org/wiki/Xandr,
Fnao64IZF0xQzKd,Hong Kong's Eddid Financial introduces all-in-one trading app featuring Bitcoin and Ether alongside traditional assets,,https://en.wikipedia.org/wiki/Bitcoin,
XsWaMItkD3mDx3v,"Major Bitcoin miner Hut 8 Corp. secures massive 205 MW power deal in West Texas, boosting its energy capacity to 1.3 GW","Power Purchase Agreements (PPAs) are long-term contracts between electricity generators and customers, typically lasting 5-20 years, that play a key role in financing independent power producers, especially renewable energy projects. In 2021, over 137 firms in 32 countries reported signing PPAs, indicating their growing importance in the energy sector.",https://en.wikipedia.org/wiki/Power_purchase_agreement,
GPJzfRdm9yYfgsg,DFI introduces new Intel-powered System-on-Module for advanced edge computing and IoT applications,"A System-on-Module (SoM) is a board-level circuit integrating various system functions, typically used in embedded systems for cost reduction and design reuse. SoMs have been utilized by major tech companies like Sun Microsystems, Motorola, and IBM in their blade computers.",https://en.wikipedia.org/wiki/System_on_module,
TWKAJzhnGEvnKdD,"Exodus introduces 'Passkeys Wallet' to make Web3 more accessible, supporting Bitcoin and other blockchains","Passkeys are WebAuthn credentials that use public-key cryptography for user authentication, offering improved security over traditional passwords by being phishing-resistant and not requiring server-side storage of secrets.",https://en.wikipedia.org/wiki/Passkey_(authentication),
0ZV2YGDJ3pwadp3,"Skillsoft teams up with Microsoft to launch a major AI training program, helping organizations master Copilot and Azure Open AI for enhanced productivity.","Microsoft Copilot is a generative AI chatbot integrated across Microsoft's products, including Windows, Office 365, and Bing. It utilizes OpenAI's GPT-4 model and offers both free and premium (Copilot Pro) tiers, with the latter priced at $20 per month.",https://en.wikipedia.org/wiki/Microsoft_Copilot,
C5PxUgtbFg6mi1t,"Prelude Therapeutics partners with Merck to test new cancer drug combination, pairing its SMARCA2 degrader with Merck's Keytruda for SMARCA4-mutated cancers.","SMARCA2 encodes a protein involved in chromatin remodeling and transcriptional regulation as part of the SNF/SWI complex. Mutations in SMARCA2 are associated with Nicolaides-Baraitser Syndrome, highlighting its importance in human health and development.",https://en.wikipedia.org/wiki/SMARCA2,
V5xKrzGkBsxiUzl,"Voltage unveils groundbreaking Bitcoin Core product, empowering enterprises with enhanced efficiency and security in managing Bitcoin transactions","The Lightning Network is a layer-2 payment protocol built on top of Bitcoin, designed to enable fast and cheap transactions through a network of payment channels, addressing Bitcoin's scalability issues. It allows for off-chain transactions that are later settled on the blockchain, potentially increasing transaction speed and reducing fees.",https://en.wikipedia.org/wiki/Lightning_Network,
iozSZWZw4gvHxuL,"HSBC teams up with Visa to launch Zing, a groundbreaking international payments app featuring multi-currency wallets and open banking","Open banking allows financial data sharing between banks and third-party providers through APIs, promoting competition and innovation in financial services. While it offers potential benefits like greater transparency and new services, it also raises concerns about security risks, privacy, and potential exploitation of consumers.",https://en.wikipedia.org/wiki/Open_banking,
nIbH8CgW4hTivCZ,Meta to crack down on posts targeting 'Zionists' when used as a proxy for Jewish people in effort to combat antisemitism,,https://en.wikipedia.org/wiki/Antisemitism,
